Advertiser Currency,Channel,Creative Size,Revenue (Adv Currency),Impressions,Active View: Viewable Impressions,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions
USD,/All Apps/Apple App Store/Navigation,300x250,2.486136,133,120,1,0,0,0
USD,Mogo DBM basic video sx,160x600,219.446383,37132,30086,24,124,7,117
USD,dso kpi audx sx,300x600,11.530044,630,580,0,11,0,11
USD,mogo marks lal branding (All) silver sx,320x50,55180.64999,10579529,9821752,14599,23927,6234,17693
USD,mogo marks natl cat-aff-im sx,300x50,120.992749,14976,14368,9,257,7,250
USD,mogo marks outbound kpi sx x1a,728x90,6647.846927,512302,395498,285,1353,93,1260
USD,mogo marks pav kpi sx 3,300x600,1053.959593,80379,68646,82,553,41,512
USD,mogo perf arts sx,320x50,1850.054795,368175,320374,239,887,94,793
USD,mogo t1 brand sx,970x250,6387.385502,854117,756852,1163,2061,423,1638
USD,/All Apps/Google Play/Tools,320x100,0.061984,63,63,0,0,0,0
USD,Android Top Selling Free Weather,320x50,2274.891337,791566,733826,919,285,203,82
USD,BR Native sx,300x600,77.100226,8681,8000,9,33,1,32
USD,Brandcast Blacklist ,300x250,19194.5966,5615179,4797588,1634,7515,428,7087
USD,GG KPI sx,300x600,143.593735,5371,4925,4,1,0,1
USD,mogo marks video branding max reach tail aggregate sx,250x250,70.65664,8780,7275,5,10,0,10
USD,mogo marks xsl_74205 (2p dims) sx ,728x90,10685.6532,1469047,1074256,1216,3984,199,3785
USD,/All Apps/Apple App Store,320x100,1.184965,596,479,0,0,0,0
USD,/All Apps/Google Play/Music & Audio,300x250,290.803762,94394,91453,130,13,2,11
USD,Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,970x66,1.092516,334,158,0,0,0,0
USD,DO NOT USE fgu test public channel,250x250,0.970798,270,219,0,0,0,0
USD,mogo marks branding elite tier sx xls37852,120x600,0.150891,14,8,0,0,0,0
USD,mogo marks broadwayworld sx,468x60,0.004844,2,0,0,0,0,0
USD,mogo marks native high reach tail aggregate sx,120x600,4.370038,746,549,0,0,0,0
USD,/All Apps/Google Play,300x600,1063.434531,41558,37473,1315,315,290,25
USD,/All Apps/Google Play/Games/Arcade,336x280,0.11592,27,13,0,2,2,0
USD,/All Apps/Google Play/Lifestyle,300x50,1.976382,465,430,1,0,0,0
USD,mogo marks native (sharethrough) unique us sx,468x60,0.348965,130,109,0,0,0,0
USD,sfoc kpi sx (acquisition 2019),300x600,494.140651,62316,57558,92,788,104,684
USD,DO NOT USE AppNexus - Collective Media,970x90,41.367442,4118,3454,3,3,0,3
USD,DO NOT USE Tier 1,320x50,44420.30954,10347599,9631837,14406,17500,5891,11609
USD,Diablo DVC Shortlist (Advertiser Level),300x600,407.751934,23353,21466,27,4092,93,3999
USD,mogo black rt sx,300x600,1.897864,502,374,0,0,0,0
USD,mogo marks branding max reach sx,320x100,438.983839,67424,62190,112,244,32,212
USD,mogo marks chicago sx,250x250,0.478339,55,51,0,0,0,0
USD,mogo marks perf arts branding high reach sx,728x90,2047.996703,209808,164205,99,779,34,745
USD,mogo marks sacramento sx,728x90,375.448578,144563,130808,31,220,12,208
USD,mogo marks xsl_800p sx,300x600,42915.03963,5159028,4261416,4404,19905,1656,18249
USD,/All Apps/Apple App Store/Weather,300x250,24.712301,4086,3021,10,0,0,0
USD,Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,336x280,148.076804,24558,21291,20,34,0,34
USD,mogo marks lal (purchase) gold sx,970x250,5979.60416,401607,331565,783,1975,373,1602
USD,/All Apps/Apple App Store/Games/Board,320x100,0.007964,5,5,0,0,0,0
USD,mogo marks high intenders sx,300x100,0.056246,19,17,0,0,0,0
USD,mogo marks pav kpi sx,160x600,1481.109646,82764,59540,60,453,23,430
USD,mogo marks perf arts platinum sx,970x90,0.519304,25,22,0,0,0,0
USD,mogo marks toronto sx,728x90,865.605941,118487,106772,64,719,17,702
USD,mogo marks video branding max reach tail aggregate sx,300x600,40886.24978,4869539,4057061,4801,17780,1799,15981
USD,mogo marks ballet sx,300x50,0.135513,6,6,0,0,0,0
USD,ttd health wellness sx,320x100,6.634985,1347,1244,1,3,0,3
USD,/All Apps/Google Play/Games/Music,300x250,0.597435,76,66,1,0,0,0
USD,/All Apps/Google Play/Personalization,300x50,0.065616,12,10,0,0,0,0
USD,DCPA rt black sx,300x250,84.327426,4494,4099,7,13,0,13
USD,DO NOT USE Invite US Expandable Enabled Sites,160x600,1271.656748,657915,576787,137,570,41,529
USD,DO NOT USE Tier 3 (2),300x50,62.015719,11579,10804,3,146,4,142
USD,mogo black sx,468x60,0.159118,123,108,0,0,0,0
USD,mogo marks kpi mdx sx xls9297,120x600,0.387804,23,17,0,0,0,0
USD,mogo marks video branding extended reach tail aggregate sx,320x100,221.517021,37839,35474,78,100,24,76
USD,t1 brand black sx,300x250,19.001573,504,466,0,0,0,0
USD,ttd real estate sx,300x600,117.708257,5028,4245,6,25,1,24
USD,/All Apps/Apple App Store/Finance,300x600,0.434844,8,8,0,0,0,0
USD,Android Top Selling Free Tools,970x250,0.036651,7,6,0,0,0,0
USD,SP News Black sx,160x600,0.52624,27,7,0,0,0,0
USD,mogo education sx,160x600,844.479475,194086,177244,100,444,39,405
USD,mogo marks lal branding (All) platinum sx,300x50,206.935234,16883,16004,13,577,9,568
USD,mogo marks ttd obx kitchen premium sink sx,336x280,35.26991,4340,3781,0,10,0,10
USD,mogo marks wsj sx x4v,300x600,628.300911,15591,13837,41,193,13,180
USD,mogo marks xsl_74205 (2p dims) sx ,336x280,13.561684,994,911,0,3,0,3
USD,mogo marks xsl_74205 (4p dims) sx ,200x200,0.014553,1,0,0,0,0,0
USD,mogo CBS Interactive sx,300x600,248.26907,10669,9634,27,113,3,110
USD,mogo marks houston sx,970x90,0.077416,12,9,0,0,0,0
USD,mogo marks native (sharethrough) unique can sx,320x50,24265.56075,7249293,6752823,7259,8196,1891,6305
